label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	num_ref_seqs	num_sample_seqs	num_total_seqs	n_gaps	total_chars	dataset	seed	method	printref	fraction_mapped	sample_frac	ref_frac	ref_weight	check_split_passed	ref	region	tool	criteria
0.03	0.03	2743	34732700	8402770000	3915460	5921740	0.85434	0.999534	0.89869	0.999296	0.89869	0.998835	0.875652	0.875954	351.0257	00:05:51	3795.92	4215.45	3791.56	3792.18	1677.86	2.2	0	13221	118989	132210	44695965	78136110	human	13	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11979	34684600	8695190000	3832100	5969780	0.8532	0.9996	0.9005	0.9993	0.9005	0.9989	0.876	0.8762	356.4909	00:05:56	3797.3	4215.46	3793.64	3794.55	829.32	2.28	0	13221	118989	132210	44695965	78136110	human	14	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2716	34656600	8403110000	3829170	5997830	0.852468	0.999545	0.900504	0.999287	0.900504	0.998837	0.875576	0.875828	354.488	00:05:54	3799.66	4215.46	3796.02	3797.1	1710.1	2.2	0	13221	118989	132210	44695965	78136110	human	14	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11935	34704000	8695180000	3844580	5950380	0.8536	0.9996	0.9003	0.9993	0.9003	0.9989	0.8761	0.8763	371.8059	00:06:11	3799.51	4220.88	3797	3797.26	10.78	0.05	0	13221	118989	132210	44695965	78136110	human	15	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2762	34674900	8404140000	3841510	5979540	0.852918	0.999543	0.900263	0.999289	0.900263	0.998838	0.87569	0.875951	353.1977	00:05:53	3794.38	4215.45	3792.23	3792.6	1696.61	2.2	0	13221	118989	132210	44695965	78136110	human	15	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11947	34725100	8695140000	3879600	5929300	0.8542	0.9996	0.8995	0.9993	0.8995	0.9989	0.876	0.8762	366.8035	00:06:06	3797.85	4217.37	3793.6	3794.17	17.18	2.28	0	13221	118989	132210	44695965	78136110	human	16	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2776	34697200	8405660000	3876760	5957200	0.853467	0.999539	0.899498	0.999292	0.899498	0.998836	0.875599	0.875878	380.4264	00:06:20	3794.35	4215.46	3791.46	3792.06	1234.34	2.2	0	13221	118989	132210	44695965	78136110	human	16	closed	t	0.85	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11988	34651700	8695230000	3791560	6002670	0.8523	0.9996	0.9014	0.9993	0.9014	0.9989	0.876	0.8762	369.3651	00:06:09	3799.68	4220.7	3796.81	3797.15	4.11	0.16	0	13221	118989	132210	44695965	78136110	human	17	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2787	34624900	8403670000	3788990	6029530	0.851688	0.999549	0.901364	0.999283	0.901364	0.998838	0.875594	0.875822	367.0326	00:06:07	3799.67	4215.46	3796.03	3797.14	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	17	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11983	33993000	8695740000	3277590	6661410	0.8361	0.9996	0.9121	0.9992	0.9121	0.9989	0.8727	0.8725	442.2517	00:07:22	3799.67	4215.45	3795.96	3797	1710.09	2.27	0	13221	118989	132210	44695965	78136110	human	18	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2717	33965600	8407180000	3274930	6688820	0.835471	0.999611	0.91206	0.999205	0.91206	0.998821	0.872342	0.872087	358.4303	00:05:58	3798.75	4215.45	3791.45	3793.7	1.98	2.2	0	13221	118989	132210	44695965	78136110	human	18	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12000	33810800	8695890000	3130720	6843580	0.8317	0.9996	0.9153	0.9992	0.9153	0.9989	0.8719	0.8715	371.916	00:06:11	3803.65	4220.7	3796.78	3798.98	1704.51	0.04	0	13221	118989	132210	44695965	78136110	human	19	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2777	33784100	8405630000	3128150	6870310	0.831007	0.999628	0.915254	0.999183	0.915254	0.998817	0.87153	0.871098	427.5408	00:07:07	3799.7	4215.49	3796.26	3797.11	1713.7	2.21	0	13221	118989	132210	44695965	78136110	human	19	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11995	34729600	8695150000	3874740	5924780	0.8543	0.9996	0.8996	0.9993	0.8996	0.9989	0.8761	0.8764	415.917	00:06:55	3799.66	4215.45	3796.03	3797.14	1700.58	2.27	0	13221	118989	132210	44695965	78136110	human	20	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2737	34701500	8401510000	3872080	5952940	0.853572	0.999539	0.899618	0.999292	0.899618	0.998837	0.875711	0.87599	358.1515	00:05:58	3798.61	4215.45	3794.43	3795.35	28.91	2.2	0	13221	118989	132210	44695965	78136110	human	20	closed	t	0.846	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11946	34728900	8695140000	3877600	5925540	0.8542	0.9996	0.8996	0.9993	0.8996	0.9989	0.8761	0.8763	358.1686	00:05:58	3794.45	4215.45	3792.29	3792.66	1696.75	2.27	0	13221	118989	132210	44695965	78136110	human	21	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2708	34701200	8404240000	3875020	5953230	0.853565	0.999539	0.899549	0.999292	0.899549	0.998837	0.875674	0.875954	387.1932	00:06:27	3799.66	4215.45	3795.95	3796.9	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	21	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12003	34730300	8695140000	3878440	5924130	0.8543	0.9996	0.8995	0.9993	0.8995	0.9989	0.8761	0.8763	370.9353	00:06:10	3799.9	4219.79	3795.86	3796.52	1152.01	0.04	0	13221	118989	132210	44695965	78136110	human	22	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2700	34702000	8402160000	3875770	5952440	0.853584	0.999539	0.899533	0.999292	0.899533	0.998836	0.875676	0.875957	400.4233	00:06:40	3795.89	4215.45	3791.56	3792.36	1685.5	0.05	0	13221	118989	132210	44695965	78136110	human	22	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12014	33895000	8695870000	3156170	6759430	0.8337	0.9996	0.9148	0.9992	0.9148	0.9989	0.8728	0.8724	371.7042	00:06:11	3800.05	4220.85	3797.09	3797.5	1697.66	0.05	0	13221	118989	132210	44695965	78136110	human	23	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2747	33867300	8406650000	3153360	6787150	0.833053	0.999625	0.914822	0.999193	0.914822	0.998824	0.872399	0.872024	374.7376	00:06:14	3799.66	4215.46	3795.96	3796.83	1702.48	0.04	0	13221	118989	132210	44695965	78136110	human	23	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11993	33888700	8695880000	3146260	6765730	0.8336	0.9996	0.915	0.9992	0.915	0.9989	0.8728	0.8724	358.6239	00:05:58	3796.85	4215.46	3791.87	3792.62	1101.81	2.27	0	13221	118989	132210	44695965	78136110	human	24	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2759	33860400	8404060000	3143530	6794030	0.832883	0.999626	0.915049	0.999192	0.915049	0.998824	0.87241899999999994	0.872035	413.3484	00:06:53	3799.66	4215.46	3796.03	3797.14	1710.03	2.2	0	13221	118989	132210	44695965	78136110	human	24	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12007	34674400	8695200000	3818190	5980040	0.8529	0.9996	0.9008	0.9993	0.9008	0.9989	0.876	0.8762	359.5614	00:05:59	3799.65	4215.45	3796.01	3797.09	1710.1	2.27	0	13221	118989	132210	44695965	78136110	human	25	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2750	34647200	8402090000	3815350	6007170	0.852238	0.999546	0.900804	0.999286	0.900804	0.998837	0.875604	0.875848	376.1629	00:06:16	3795.29	4215.45	3791.52	3791.92	619.72	2.21	0	13221	118989	132210	44695965	78136110	human	25	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11994	33882600	8695880000	3140600	6771780	0.8334	0.9996	0.9152	0.9992	0.9152	0.9989	0.8728	0.8724	380.0941	00:06:20	3794.97	4215.44	3791.44	3791.97	977.93	2.27	0	13221	118989	132210	44695965	78136110	human	26	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2704	33856800	8404190000	3137940	6797580	0.832796	0.999627	0.915179	0.999192	0.915179	0.998824	0.872435	0.872046	348.0566	00:05:48	3799.65	4215.45	3795.94	3796.9	1704.74	2.2	0	13221	118989	132210	44695965	78136110	human	26	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11981	34643400	8695240000	3786450	6011040	0.8521	0.9996	0.9015	0.9993	0.9015	0.9989	0.8759	0.8761	350.9769	00:05:50	3799.69	4215.48	3795.14	3796.44	504.5	2.27	0	13221	118989	132210	44695965	78136110	human	27	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2765	34614500	8402770000	3783810	6039950	0.851432	0.99955	0.901459	0.999282	0.901459	0.998837	0.875508	0.875731	409.9252	00:06:49	3799.69	4215.49	3795.98	3797.04	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	27	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12008	33993000	8695750000	3274370	6661420	0.8361	0.9996	0.9121	0.9992	0.9121	0.9989	0.8728	0.8725	367.4619	00:06:07	3803.69	4220.74	3800.05	3801.13	411.02	0.04	0	13221	118989	132210	44695965	78136110	human	28	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2757	33965700	8407180000	3271710	6688710	0.835474	0.999611	0.912139	0.999205	0.912139	0.998821	0.872382	0.872125	342.8293	00:05:42	3796.64	4215.46	3793.39	3794.31	1698.27	0.03	0	13221	118989	132210	44695965	78136110	human	28	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12066	33924100	8695830000	3192000	6730280	0.8345	0.9996	0.914	0.9992	0.914	0.9989	0.8728	0.8724	372.2519	00:06:12	3801.41	4220.85	3797.04	3797.9	1695.21	0.05	0	13221	118989	132210	44695965	78136110	human	29	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2749	33895400	8401670000	3189250	6759040	0.833744	0.999621	0.914001	0.999196	0.914001	0.998822	0.872368	0.87203	372.4588	00:06:12	3795.72	4215.44	3791.45	3792.29	431.49	0.03	0	13221	118989	132210	44695965	78136110	human	29	closed	t	0.846	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11985	34668700	8695200000	3817070	5985700	0.8528	0.9996	0.9008	0.9993	0.9008	0.9989	0.8759	0.8761	426.1989	00:07:06	3799.66	4215.45	3795.95	3796.93	1709.93	2.27	0	13221	118989	132210	44695965	78136110	human	30	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2677	34639400	8403390000	3814230	6014980	0.852046	0.999546	0.90081	0.999285	0.90081	0.998836	0.875508	0.87575	372.4347	00:06:12	3799.66	4215.45	3793.11	3795.13	416.96	0.03	0	13221	118989	132210	44695965	78136110	human	30	closed	t	0.845	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12008	34737200	8695140000	3886050	5917240	0.8545	0.9996	0.8994	0.9993	0.8994	0.9989	0.8761	0.8763	423.2817	00:07:03	3797.86	4217.42	3794.43	3795.46	212.04	2.27	0	13221	118989	132210	44695965	78136110	human	31	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2796	34710700	8404230000	3883460	5943700	0.853799	0.999538	0.899377	0.999293	0.899377	0.998837	0.875711	0.875996	357.8193	00:05:57	3799.71	4215.5	3796.42	3797.07	31.84	2.2	0	13221	118989	132210	44695965	78136110	human	31	closed	t	0.85	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12025	34704200	8695170000	3848260	5950240	0.8536	0.9996	0.9002	0.9993	0.9002	0.9989	0.876	0.8763	354.8999	00:05:54	3799.66	4215.45	3796.02	3797.11	1710.1	2.27	0	13221	118989	132210	44695965	78136110	human	32	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2731	34674500	8401540000	3845480	5979920	0.852908	0.999542	0.900169	0.999289	0.900169	0.998837	0.875639	0.875902	406.767	00:06:46	3799.65	4215.45	3796.02	3797.13	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	32	closed	t	0.846	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11942	34694000	8695160000	3856730	5960350	0.8534	0.9996	0.9	0.9993	0.9	0.9989	0.8758	0.8761	480.2108	00:08:00	3799.66	4215.46	3795.97	3796.47	98.51	2.29	0	13221	118989	132210	44695965	78136110	human	33	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2724	34665500	8404130000	3853930	5988870	0.852688	0.999542	0.899949	0.999288	0.899949	0.998835	0.875418	0.875681	441.6477	00:07:21	3794.98	4215.46	3791.59	3792	1683.76	2.21	0	13221	118989	132210	44695965	78136110	human	33	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11968	34662600	8695220000	3800530	5991760	0.8526	0.9996	0.9012	0.9993	0.9012	0.9989	0.876	0.8762	355.309	00:05:55	3795.22	4215.45	3792.19	3792.95	1695.02	2.28	0	13221	118989	132210	44695965	78136110	human	34	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2681	34635200	8404960000	3797940	6019200	0.851942	0.999548	0.901181	0.999284	0.901181	0.998838	0.875635	0.87587	343.3438	00:05:43	3797.73	4215.45	3793.41	3794.4	918.37	0.04	0	13221	118989	132210	44695965	78136110	human	34	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12020	33889600	8695870000	3150230	6764840	0.8336	0.9996	0.915	0.9992	0.915	0.9989	0.8728	0.8724	356.6756	00:05:56	3799.65	4215.45	3795.95	3796.89	1708.6	2.28	0	13221	118989	132210	44695965	78136110	human	35	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2718	33860700	8405610000	3147380	6793730	0.832891	0.999626	0.914954	0.999192	0.914954	0.998823	0.872377	0.871996	364.1557	00:06:04	3799.66	4215.45	3795.95	3796.54	1705.14	2.21	0	13221	118989	132210	44695965	78136110	human	35	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12053	33903600	8695860000	3165050	6750800	0.8339	0.9996	0.9146	0.9992	0.9146	0.9989	0.8728	0.8724	358.2638	00:05:58	3795.73	4215.46	3791.91	3792.94	1316.28	2.28	0	13221	118989	132210	44695965	78136110	human	36	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2784	33876500	8403780000	3162540	6777920	0.833279	0.999624	0.914616	0.999194	0.914616	0.998823	0.87241899999999994	0.872055	345.2912	00:05:45	3799.66	4215.46	3795.96	3797	1708.57	0.03	0	13221	118989	132210	44695965	78136110	human	36	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11972	34679100	8695190000	3833820	5975260	0.853	0.9996	0.9005	0.9993	0.9005	0.9989	0.8759	0.8761	360.2756	00:06:00	3796.85	4215.46	3794.79	3795.17	507.89	2.27	0	13221	118989	132210	44695965	78136110	human	37	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2731	34650000	8404800000	3830960	6004400	0.852306	0.999544	0.900445	0.999286	0.900445	0.998836	0.875464	0.875715	347.1144	00:05:47	3795.9	4215.46	3791.57	3792.16	1692.95	2.2	0	13221	118989	132210	44695965	78136110	human	37	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11983	33896600	8695870000	3156540	6757780	0.8338	0.9996	0.9148	0.9992	0.9148	0.9989	0.8728	0.8724	384.7774	00:06:24	3799.67	4215.46	3795.96	3796.96	1699.1	2.28	0	13221	118989	132210	44695965	78136110	human	38	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2740	33865500	8404830000	3153390	6788870	0.83301	0.999625	0.914817	0.999193	0.914817	0.998823	0.872374	0.871999	353.1116	00:05:53	3797.15	4215.46	3791.66	3793.05	1705.17	2.2	0	13221	118989	132210	44695965	78136110	human	38	closed	t	0.845	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11935	34719000	8695150000	3869420	5935440	0.854	0.9996	0.8997	0.9993	0.8997	0.9989	0.876	0.8763	393.9708	00:06:33	3799.66	4215.45	3791.45	3794.22	1611.44	2.27	0	13221	118989	132210	44695965	78136110	human	39	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2749	34690900	8404370000	3866720	5963530	0.853312	0.99954	0.899716	0.999291	0.899716	0.998837	0.875625	0.875899	347.7743	00:05:47	3799.66	4215.45	3795.2	3795.8	23.02	2.2	0	13221	118989	132210	44695965	78136110	human	39	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11957	34730700	8695130000	3887020	5923700	0.8543	0.9996	0.8993	0.9993	0.8993	0.9989	0.876	0.8762	387.7215	00:06:27	3799.66	4215.46	3795.95	3796.98	1708.67	2.27	0	13221	118989	132210	44695965	78136110	human	40	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2684	34703500	8405660000	3884390	5950900	0.853622	0.999538	0.899337	0.999293	0.899337	0.998836	0.8756	0.875883	346.7741	00:05:46	3799.66	4215.46	3793.74	3795.4	12.7	2.2	0	13221	118989	132210	44695965	78136110	human	40	closed	t	0.847	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12025	34751500	8695110000	3908560	5902940	0.8548	0.9996	0.8989	0.9993	0.8989	0.9989	0.876	0.8763	404.9699	00:06:44	3804.99	4220.86	3801.43	3802.49	1709.9	0.05	0	13221	118989	132210	44695965	78136110	human	41	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
